job title,company name,Date,location,skills,links
Python Or Electron Framework Developer (Knowledge Survivor - Desktop Application),ItsTime -,4 days ago,"Oakville, Canada ",Part TimeFreelance / ProjectExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · UI · Computer Science · Information Technology (IT) · Software Development · GTK · English · Software Engineering,/jobs/p/6kmqfkoQ34Fi-Python-Or-Electron-Framework-Developer-Knowledge-Survivor---Desktop-Application-ItsTime-Oakville-Canada?o=1&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior Python Developer,CLOUDSIGMA AG -,6 days ago,"Sofia, Bulgaria ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python3 · Relational Databases · Celery · VMWare · Django · Continous Integration · Test Driven Development · HTTP,/jobs/p/bjKrYXddLwLG-Senior-Python-Developer-CLOUDSIGMA-AG-Sofia-Bulgaria?o=2&l=sp&t=sj&a=python|search-v3|hpb|spbl
Flask Python Developer,Cyber security  Company -,4 days ago,"Cairo, Egypt ",InternshipEntry Level · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Flask · Python · Software Development · Computer Science · Information Technology (IT),/internship/LGTfqNjP6gc7-Flask-Python-Developer-Cyber-security-Company-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior Python Django Developer,Mentor Seven -,9 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Python · Python Django · Software Development · Information Technology (IT) · ORM · Telecom Engineering,/jobs/p/cwxs7KB0EFeK-Senior-Python-Django-Developer-Mentor-Seven-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior Python Backend Developer,CROCOSOFT -,20 days ago,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),/jobs/p/ZS2AZ15Zb6gT-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb|spbl
Python Developer for Sports Statistics.,Fekra Technology Solutions and Construction -,27 days ago,"Dokki, Giza, Egypt ",Full TimeWork From HomeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · ETL · Python · SQL · Information Technology (IT),/jobs/p/d3zIKes35LZX-Python-Developer-for-Sports-Statistics-Fekra-Technology-Solutions-and-Construction-Giza-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior / Mid Senior Python (Django) Developer,InnovaDigits -,30 days ago,"Mansoura, Dakahlia, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Python · AWS · Docker · Software Development · Information Technology (IT) · MySQL,/jobs/p/rpANthPLGT2M-Senior-Mid-Senior-Python-Django-Developer-InnovaDigits-Dakahlia-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior Python Developer,Stackzy -,1 month ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Python · Databases · Software Development · Data Processing · airflow · Cloud · Computer Science,/jobs/p/k7LetgYe0WZg-Senior-Python-Developer-Stackzy-Giza-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb|spbl
Python Backend Developer,Bydotpy -,1 month ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · RESTful API · Computer Science · Computer Engineering · Software Development · Information Technology (IT),/jobs/p/A1z5DK0essUs-Python-Backend-Developer-Bydotpy-Cairo-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior Python Engineer,El-Sewedy Electrometer -,1 month ago,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · MySQL · Linux · Information Technology (IT) · SQL · jQuery · Programming,/jobs/p/ohFtakW4EZWa-Senior-Python-Engineer-El-Sewedy-Electrometer-Giza-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb|spbl
Python Developer,OdooTec -,2 months ago,"New Cairo, Cairo, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · MVC · Information Technology (IT) · Computer Science · Python · Software Development · CSS · Design,/jobs/p/TEXsA8hxgzA7-Python-Developer-OdooTec-Cairo-Egypt?o=11&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior Python / Django Developer,RDI -,2 months ago,"Dokki, Giza, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · MySQL · GIT · Docker · javaScript · Angular · RESTful APIs,/jobs/p/4yZylKxIEYZb-Senior-Python-Django-Developer-RDI-Giza-Egypt?o=12&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior Python Developer,Trufla -,2 months ago,"Heliopolis, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Agile · APIs · AWS · Computer Science · Git · Linux · Python · REST,/jobs/p/6Yzv3ZC4RcGO-Senior-Python-Developer-Trufla-Cairo-Egypt?o=13&l=sp&t=sj&a=python|search-v3|hpb|spbl
Full Stack Developer,Remote Platz -,2 months ago,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · fulll-stack · JavaScript · Vue.js · Python · Django · Node.js · Information Technology (IT) · HTML,/jobs/p/0jtWjsuV6i7L-Full-Stack-Developer-Remote-Platz-Cairo-Egypt?o=14&l=sp&t=sj&a=python|search-v3|hpb|spbl
"Solutions Engineer (Frontend, React)",Remotecoders -,10 days ago,"Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front end · Information Technology (IT) · Software Development · Front end developer · React · Computer Engineering · Computer Science · CSS,/jobs/p/51ZoQFUXmzBp-Solutions-Engineer-Frontend-React-Remotecoders-Cairo-Egypt?o=15&l=sp&t=sj&a=python|search-v3|hpb|spbl
SRE & Support Engineer,Cegedim -,4 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Jira · Saltstack · Jenkins · Linux · Oracle · MongoDB · Bash · Powershell,/jobs/p/8WvYpUq5JGNY-SRE-Support-Engineer-Cegedim-Cairo-Egypt?o=16&l=sp&t=sj&a=python|search-v3|hpb|spbl
DevOps/ProdOPS Engineer,Cegedim -,4 days ago,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Computer Engineering · Information Technology (IT) · DevOps · ProdOPS · Gradle · Git · Openshift,/jobs/p/m0PaYcX33que-DevOpsProdOPS-Engineer-Cegedim-Cairo-Egypt?o=17&l=sp&t=sj&a=python|search-v3|hpb|spbl
Cyber Security Engineer,axispay -,4 days ago,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · Information Technology (IT) · Cyber Security · Computer Science · Microsoft Office · Security · Python · SIEM,/jobs/p/Coh0q91oPwVu-Cyber-Security-Engineer-axispay-Cairo-Egypt?o=18&l=sp&t=sj&a=python|search-v3|hpb|spbl
Technical Artist,Limbic Entertainment (Cairo Office) -,4 days ago,"Sheraton, Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Unreal Engine · Game development · Scripting · VFX · Autodesk Maya · Autodesk 3ds Max · Adobe Photoshop · Python,/jobs/p/9v4Tbqc4DwSy-Technical-Artist-Limbic-Entertainment-Cairo-Office-Cairo-Egypt?o=19&l=sp&t=sj&a=python|search-v3|hpb|spbl
